source	disposition	target_or_reason
a-friendly-paraphrase-of-your-own-finding-is-the-cheapest-way-for-your-claim-to-grow	DUP	agent/memory/fleet/agreement-is-not-corroboration-when-a-premise-was-inherited.md
a-front-end-source-validator-behind-a-capability-type-is-clean-when-no-alternate-constructor-bypasses-it-and-a-source-rewriting-formatter-is-not-in-the-trusted-compile-path	DROP	single-PR adversary reference checklist, too narrow
a-fuelled-algorithms-verified-claim-leaks-unless-the-spec-discharges-its-own-fuel-sufficiency-precondition	DROP	single catalog-entry adversary reference, too narrow
a-fully-framed-node-can-be-withheld-from-the-frontier-by-its-own-draft-status	DROP	Ken tracker-tooling-specific incident (gen-progress.sh)
a-function-local-ordering-argument-is-not-the-module-level-reachability-property	DUP	CHECKS.md#2 (fan-in / resolve arm then enumerate every path)
a-fusion-ruling-can-be-right-about-identity-and-wrong-about-locality	DROP	single-WP narrative, too incident-specific
a-gate-can-be-written-in-the-shape-its-predecessor-already-measured-as-blind	DROP	single-WP mutation-testing narrative
a-gate-flag-bounds-its-own-path-not-every-consumer-of-the-mechanism	DUP	CHECKS.md#6 (population placed inside a mechanism)
a-gate-is-an-instrument-and-the-verification-method-is-the-gate	DUP	agent/memory/fleet/an-acceptance-criterion-must-name-an-observation-the-failing-configuration-does-not-also-produce.md
a-gate-predicate-weaker-than-its-consumer-is-sound-only-when-the-accept-path-re-runs-the-fail-closed-consumer	DROP	single-PR adversary reference, too narrow
a-gate-that-tells-you-to-distrust-node-status-can-be-the-instrument-that-is-wrong	DROP	single-WP narrative, too incident-specific
a-git-pathspec-resolves-relative-to-cwd-so-a-persisted-cd-turns-a-filter-into-a-silent-zero	DUP	agent/memory/fleet/multi-worktree-cwd-drift-phantom-diff.md
a-git-switch-to-a-branch-held-by-another-worktree-fails-silently-in-a-chain	DROP	single-incident narrative, narrow ops mechanic
a-github-write-that-is-not-a-merge-has-no-owner-so-two-credentialed-seats-can-both-do-it	DROP	Ken COORDINATION §14b-specific incident
a-glob-reexports-restricted-visibility-items-too	DROP	single Rust de-globbing incident, narrow
a-green-build-is-weak-for-a-claim-the-compiler-does-not-check-and-conclusive-for-one-it-does	DROP	proposed for promotion, not taken: boundary note on the green-is-weak family; not selected to keep growth to tens
a-green-test-can-be-green-by-3-percent-of-a-hidden-budget	DUP	stated-stacks skill (margin-census / stack-budget family)
a-grep-census-of-a-types-readers-undercounts-only-the-compiler-enumerates-them	DUP	agent/memory/fleet/a-guard-added-to-a-pattern-can-consume-the-token-the-pattern-searches-for.md
a-grep-hit-you-do-not-open-is-the-same-as-a-grep-you-never-ran	DUP	agent/memory/enclave/an-absence-claim-is-refuted-at-the-consumer-not-where-the-subject-is-defined.md
a-grep-key-that-matches-text-cannot-distinguish-a-definition-from-a-mention-of-one	DUP	agent/memory/fleet/a-guard-added-to-a-pattern-can-consume-the-token-the-pattern-searches-for.md
a-grep-keyed-on-one-type-prefix-undercounts-a-heterogeneous-list-and-the-number-looks-verified	DUP	agent/memory/fleet/a-type-check-cannot-distinguish-two-fields-that-share-a-type.md
a-guard-built-to-a-ruling-that-refuses-is-the-ruling-being-refuted	DROP	single-WP narrative, too incident-specific
a-guard-comparing-a-value-derived-from-its-own-input-cannot-fail	DROP	proposed for promotion, not taken: covered by CHECKS.md#1 (one source minted both sides)
a-guard-on-what-the-command-says-is-not-a-guard-on-what-the-command-does	PROMOTE	new agent/memory/fleet/a-guard-on-what-the-command-says-is-not-a-guard-on-what-the-command-does.md
a-guard-that-only-routes-to-the-fallback-cannot-fix-a-defect-the-fallback-itself-exhibits	DROP	single-WP narrative, force-off technique too incident-bound
a-guard-you-add-may-be-shadowed-by-an-upstream-invariant-mutate-the-natural-producer-before-claiming-you-pinned-anything	DUP	mutation-prove-a-pin skill (mutate the natural producer, not the guard's own input)
a-guards-two-producer-property-does-not-transfer-inside-its-own-branch	DROP	single-WP narrative, too incident-specific
a-half-landed-replacement-may-move-the-failure-backwards-only-if-the-intermediate-refuses	DROP	single-WP narrative; overlaps advancing-refusal family
a-hand-written-forbidden-character-class-reports-clean-about-only-the-characters-you-remembered	DUP	pin-a-property skill (allowed-inventory over forbidden-list)
a-handoff-can-name-its-recipient-in-prose-and-mention-nobody	DUP	agent/memory/fleet/mention-discipline.md
a-hazard-written-for-one-direction-of-a-symmetric-relation-reads-as-coverage-for-both	DROP	single-WP narrative, too incident-specific
a-heading-repair-is-coupled-when-the-stale-word-is-in-the-anchor	DROP	doc-team-specific narrow incident (heading anchor citation)
a-hedge-does-not-constrain-what-is-done-with-the-claim-it-hedges	PROMOTE	new agent/memory/fleet/a-hedge-does-not-constrain-what-is-done-with-the-claim-it-hedges.md
a-high-effort-thinking-pane-shows-neither-working-nor-esc-to-interrupt	DROP	Ken fleet-ops pane-detection mechanic, narrow
a-hold-that-permits-activity-cannot-be-stated-as-a-sha	DROP	single-WP narrative; overlaps pin-as-property family
a-label-is-a-prediction-not-a-measurement	DROP	single-review narrative; near-miss promote but folds into existing sentinel/default-signature family
a-landed-convention-is-not-a-ruling-and-a-ratified-decision-can-forbid-it	DROP	single Ken doc-program narrative
a-landed-plane-can-have-no-production-caller	DROP	single-WP narrative, too incident-specific
a-lane-blocked-on-a-reviewer-can-be-blocked-because-the-reviewer-seat-is-stopped	DROP	Ken fleet-ops mechanic (moot/tmux), narrow
a-lane-only-ever-exercised-with-synthetic-fixtures-rejects-the-real-thing	DROP	single-WP narrative; overlaps reachability-precondition family
a-later-note-saying-a-deliverable-is-false-does-not-replace-the-deliverable	DUP	agent/memory/fleet/a-later-note-saying-a-deliverable-is-false-does-not-replace-the-deliverable.md (checked-in copy current; no fold)
a-later-refusal-is-not-evidence-about-an-earlier-gate	DROP	single-WP narrative, too incident-specific
a-later-ruling-silently-invalidates-acs-in-frames-already-written	DROP	single-WP narrative, too incident-specific
a-leader-taking-over-an-implementers-task-leaves-the-handoff-back-unowned	DROP	Ken fleet-ops ring-stall mechanic, narrow
a-leaders-own-tick-concludes-no-gap-and-then-misses-the-handback	DROP	Ken fleet-ops watchdog mechanic, narrow
a-ledgers-drift-from-head-can-be-the-designed-signal-not-a-defect	DROP	single ledger-specific narrative (SOURCE-ATTESTATIONS)
a-lieutenant-ci-monitor-can-arm-then-fail-to-fire-verify-a-stalled-merge-via-gh-not-the-pane	DROP	Ken merge-ops mechanic, narrow
a-line-number-is-not-a-bucket-resolve-the-enclosing-binding-before-acting-on-a-set-membership-claim	DUP	agent/memory/fleet/a-pattern-match-is-evidence-about-what-encloses-it.md
a-line-scoped-grep-cannot-see-a-phrase-that-spans-a-wrap	DUP	agent/memory/fleet/a-line-local-operation-lies-about-hard-wrapped-text.md
a-line-window-has-no-notion-of-where-one-record-ends	DROP	WP-specific census incident (thread-local selector defaults); scan-boundary point already covered loosely
a-literal-pattern-lowering-to-a-bool-if-chain-is-sound-by-recheck-and-adds-no-refinement-so-the-review-is-exhaustiveness-fail-closed-plus-host-eq-equals-runtime-comparator-grouping	DROP	single-commit adversary verdict log (evt_4pzwsjye6ht0m), campaign narrative
a-literal-test-region-strip-silently-noops-on-the-first-qualified-mod-tests	DROP	WP-specific incident (Ken cranelift_backend item 15 D2 split)
a-live-claude-seat-can-strand-with-unsubmittable-composer-text-recover-by-clear-and-retype	DUP	agent/memory/fleet/verify-a-tmux-rouse-actually-submitted.md
a-live-terra-seat-wakes-to-plan-then-idles-on-a-convo-dispatch	DUP	agent/memory/fleet/verify-a-tmux-rouse-actually-submitted.md
a-live-wiring-slice-installs-a-producer-before-its-consumer-so-its-only-production-effect-is-an-inert-field-plus-a-new-fallible-gate-attack-both	DROP	single-commit adversary verdict log (evt_4mfzx89c4ncdj), campaign narrative
a-liveness-detector-built-on-a-guessed-footer-string-fails-in-both-directions	DUP	agent/memory/roles/steward/a-working-idle-grep-keyed-on-one-harnesses-footer-reports-false-idle-on-the-other.md
a-liveness-probe-that-can-match-itself-reports-done-on-a-half-written-file	DUP	agent/memory/roles/steward/a-queued-delivery-waits-on-a-next-tool-call-an-idle-seat-will-never-make.md
a-locator-has-two-coordinates-and-re-deriving-one-is-not-evidence-about-the-other	DROP	WP-specific incident (frame locator table correction); no matching checked-in file found
a-loud-gate-failure-and-a-silent-miscompile-can-be-two-exits-of-one-fail-open-rule	DROP	WP-specific incident (px8f_write_partition, PR #3676)
a-matching-value-carries-no-information-when-every-candidate-would-have-matched	DROP	WP-specific incident (RT-LEXICAL-RECURSOR-CONSUMERS D2k-1c-2)
a-measurement-can-prove-the-instrument-wrong-and-the-number-right	DROP	WP-specific incident (RT-DESCENT-RETIRE D1)
a-measurement-candidate-and-a-landing-candidate-have-incompatible-gate-criteria	DROP	WP-specific incident (RT-DESCENT-RETIRE D2c)
a-measurement-correct-on-one-tree-becomes-a-cross-tree-claim-only-through-a-carry-argument	PROMOTE	new agent/memory/fleet/a-measurement-correct-on-one-tree-becomes-a-cross-tree-claim-only-through-a-carry-argument.md
a-measurement-nodes-framing-and-its-conclusions-decay-independently	DUP	agent/memory/roles/steward/a-nodes-status-is-a-claim-about-a-node-not-evidence-about-the-tree.md
a-measurement-that-refutes-a-durable-claim-is-not-optional-coverage	DROP	WP-specific incident (RT-D5B-LIVE-WIRING)
a-mechanism-claim-in-a-comment-is-structurally-exempt-from-execution	DUP	agent/memory/fleet/a-mechanism-claim-in-a-comment-is-structurally-exempt-from-execution.md (checked-in copy current; no fold)
a-mechanism-picture-built-from-prose-needs-a-probe-not-more-reading	DROP	WP-specific incident (RT-LEXICAL-R3-FUSION-EMITTER DP)
a-membership-test-over-a-large-namespace-answers-an-adjacent-question	DUP	agent/memory/fleet/every-verification-instrument-passes-on-a-candidate-that-was-never-pushed.md
a-merge-base-goes-stale-without-your-branch-moving	DROP	WP-specific incident (RT-LEXICAL-RECURSOR-CONSUMERS D2b); merge-base staleness covered in steward git corpus
a-monitor-that-watches-for-the-damage-it-causes-reads-as-supervised	DUP	agent/memory/roles/steward/fetching-during-the-publisher-window-freezes-the-NEXT-publish.md
a-move-x-before-y-fix-is-feasible-only-if-xs-inputs-exist-at-the-new-position	DROP	WP-specific incident (RT-COMPOSED-RETURN-SSA HS5)
a-movement-instrument-built-before-the-mover-can-read-a-population-the-mover-cannot-enter	DROP	WP-specific incident (RT-LEXICAL-RECURSOR-CONSUMERS D2f)
a-multi-clause-ac-reads-as-satisfied-when-you-discharge-the-subset-you-built-for	DUP	agent/memory/fleet/an-acceptance-property-listing-forbidden-verbs-permits-losing-the-thing.md
a-multi-route-census-fixture-must-contain-its-probe-name-in-only-its-own-route	DROP	WP-specific incident (WP-2 LANG-MOD-STRICT-RESOLUTION D1)
a-multi-tier-slice-frame-can-name-a-consume-dependency-on-an-unbuilt-and-misassigned-tier	DROP	WP-specific incident (RT-CHECKED-IH-CAPTURED-ENV-SCHEMA)
a-mutation-anchor-that-does-not-match-reports-a-green-that-reads-as-a-defeated-pin	DUP	agent/memory/fleet/a-mutation-that-passes-when-it-should-fail-means-a-stale-input.md
a-mutation-campaign-needs-a-grid-not-a-count	PROMOTE	new agent/memory/roles/adversary/a-mutation-campaign-needs-a-grid-not-a-count.md
a-mutation-control-with-unwrap-or-exact-is-the-identity	DUP	agent/memory/roles/adversary/disable-the-mutation-mechanism-to-find-vacuous-controls.md
a-mutation-experiment-on-a-red-baseline-is-uninterpretable-in-both-directions	DROP	WP-specific incident (D3b+D4 Architect fix)
a-mutation-on-the-discriminator-input-measures-the-consistency-law-not-the-decision	DROP	WP-specific incident (RT-DECL-CLOSURE-PORT D4)
a-mutation-proofs-line-numbers-are-coordinates-on-the-mutant	DROP	WP-specific incident (RT-VALUE-TOTALITY-P1); same family as this batch's locator-two-coordinates item
a-mutation-that-does-not-redden-can-indict-your-claim-not-a-missing-control	DUP	agent/memory/roles/adversary/a-green-mutation-does-not-tell-you-which-blindness-let-it-through.md
a-mutation-that-reddens-does-not-confirm-which-detector-caught-it	PROMOTE	new agent/memory/roles/adversary/a-mutation-that-reddens-does-not-confirm-which-detector-caught-it.md
a-mutation-that-stays-green-can-mean-the-representation-made-the-defect-unrepresentable	DUP	agent/memory/roles/adversary/a-green-mutation-does-not-tell-you-which-blindness-let-it-through.md
a-negative-acs-assertion-target-betrays-which-axis-it-actually-tests	DROP	WP-specific incident (RT-CHECKED-IH-CAPTURED-ENV-SCHEMA tier-1)
a-negative-check-passes-for-any-reason-so-it-needs-a-positive-control	DUP	agent/memory/fleet/a-negative-check-passes-for-any-reason-so-it-needs-a-positive-control.md (checked-in copy current; no fold)
a-negative-claim-can-cite-a-gate-whose-error-message-names-the-escape-hatch	DROP	WP-specific incident (RT-LEXICAL-CALL-ARG-WITNESS-OR-PORT D1)
a-negative-only-control-cannot-find-the-positive-paths-preconditions	DROP	WP-specific incident (RT-LEXICAL-RECURSOR-CONSUMERS D2g)
a-new-route-beside-an-old-one-must-fire-only-where-the-old-cannot-serve	DROP	WP-specific incident (RT-CAPTURE-CONTEXT-FRAME-EMIT D2)
a-new-validating-gate-is-vacuous-if-a-coarser-downstream-refusal-still-fires	DROP	WP-specific incident (RT-DYNAMIC-ARM-SCALAR-MERGE D1b-role-c1)
a-no-op-mutation-is-indistinguishable-from-a-well-defended-one	DUP	agent/memory/fleet/a-mutation-that-passes-when-it-should-fail-means-a-stale-input.md
a-no-retained-consumer-move-claim-must-enumerate-field-embeddings-and-delegating-wrappers	DROP	WP-specific incident (RT-EMITTER-CONTROL-JOINS-SPLIT)
a-non-blocking-ci-job-still-blocks-the-publisher	DROP	WP-specific incident (CI-IGNORED-SWEEP PR #1714)
a-notation-spec-review-must-run-the-spellability-check-on-every-named-spelling-not-just-the-headline-former	DROP	WP-specific incident (LANG-TRUNC-SURFACE-spec review)
a-number-you-declare-non-binding-can-still-be-load-bearing-in-a-role-you-assigned-it-yourself	DUP	agent/memory/fleet/a-number-sound-as-a-measurement-is-not-sound-as-a-criterion.md
a-one-arm-coverage-gap-is-not-a-finding-when-the-conditionals-other-arm-is-a-recorded-successor-carry	DROP	WP-specific incident (RT-CAPTURE-PROJECTION-GROW D1)
a-pane-read-is-a-read-of-the-ui-not-of-the-agent-behind-it	DUP	agent/memory/roles/steward/a-stranded-delivery-is-corroborated-by-the-recipients-own-status.md
a-pane-status-describing-progress-says-nothing-about-liveness	PROMOTE	new agent/memory/roles/steward/a-pane-status-describing-progress-says-nothing-about-liveness.md
a-parser-admission-repair-that-adds-early-reject-guards-is-clean-when-its-can-start-guard-is-the-same-roster-the-parser-uses-and-its-exclusion-set-is-shared-with-the-app-loop	DROP	single-commit adversary verdict log (evt_4fkqdzs5a9mkv), campaign narrative
a-partial-capability-edge-optimization-ripples-through-a-family-of-base-test-premises	DROP	WP-specific incident (RT-COMPOSED-RETURN-FORWARD-RET-EDGE)
a-partial-widening-moves-a-refusal-instead-of-closing-it	DUP	CHECKS.md#2
